domain,subject_area,question
Hard Sciences,Math/Logic,How do you add two numbers together?
Hard Sciences,Math/Logic,What is subtraction?
Hard Sciences,Math/Logic,What is multiplication?
Hard Sciences,Math/Logic,How does division work?
Hard Sciences,Math/Logic,Why do some numbers have decimals?
Hard Sciences,Math/Logic,What is a fraction?
Hard Sciences,Math/Logic,How can we compare different fractions?
Hard Sciences,Math/Logic,What is a percentage?
Hard Sciences,Math/Logic,How do you find the area of a rectangle?
Hard Sciences,Math/Logic,What shapes are in geometry?
Hard Sciences,Math/Logic,How do you measure angles?
Hard Sciences,Math/Logic,What is a right angle?
Hard Sciences,Math/Logic,What is a triangle?
Hard Sciences,Math/Logic,How do you know if a triangle is equal on all sides?
Hard Sciences,Math/Logic,What is symmetry?
Hard Sciences,Math/Logic,How do we use math in everyday life?
Hard Sciences,Math/Logic,What is a pattern?
Hard Sciences,Math/Logic,How can patterns help us solve problems?
Hard Sciences,Math/Logic,What are prime numbers?
Hard Sciences,Math/Logic,Why can't prime numbers be divided by other numbers?
Hard Sciences,Math/Logic,What is a whole number?
Hard Sciences,Math/Logic,What are negative numbers?
Hard Sciences,Math/Logic,How do you round numbers?
Hard Sciences,Math/Logic,What is a math equation?
Hard Sciences,Math/Logic,Why do we use variables in math?
Hard Sciences,Math/Logic,What is a graph?
Hard Sciences,Math/Logic,How do we read a bar graph?
Hard Sciences,Math/Logic,What is a line graph?
Hard Sciences,Math/Logic,How do we show data in a pie chart?
Hard Sciences,Math/Logic,What does it mean to be equal in math?
Hard Sciences,Math/Logic,What are inequalities?
Hard Sciences,Math/Logic,What is logic?
Hard Sciences,Math/Logic,How does logic help us solve problems?
Hard Sciences,Math/Logic,What is a mathematical operation?
Hard Sciences,Math/Logic,Why do we need to use parentheses in math?
Hard Sciences,Math/Logic,What is an algorithm?
Hard Sciences,Math/Logic,How do you solve a math problem step by step?
Hard Sciences,Math/Logic,What is a math puzzle?
Hard Sciences,Math/Logic,How can puzzles make math fun?
Hard Sciences,Math/Logic,What is estimation?
Hard Sciences,Math/Logic,Why is it important to estimate first?
Hard Sciences,Math/Logic,What is a mathematical pattern?
Hard Sciences,Math/Logic,How do you find the perimeter of a shape?
Hard Sciences,Math/Logic,What is a coordinate plane?
Hard Sciences,Math/Logic,How do you plot a point on a graph?
Hard Sciences,Math/Logic,What is a function?
Hard Sciences,Math/Logic,How do we use math in cooking?
Hard Sciences,Math/Logic,What is the difference between even and odd numbers?
Hard Sciences,Math/Logic,How do you convert between different units of measure?
Hard Sciences,Math/Logic,What is a ratio?
Hard Sciences,Math/Logic,How do you use ratios in real life?
Hard Sciences,Math/Logic,What does it mean when two things are proportional?
Hard Sciences,Math/Logic,What is a decimal point?
Hard Sciences,Math/Logic,How do you add decimals?
Hard Sciences,Math/Logic,What is a math challenge?
Hard Sciences,Math/Logic,How can we solve word problems?
Hard Sciences,Math/Logic,What is a math fact?
Hard Sciences,Math/Logic,Why do we memorize math facts?
Hard Sciences,Math/Logic,What is a number pattern?
Hard Sciences,Math/Logic,How do you find the least common multiple?
Hard Sciences,Math/Logic,What are factors of a number?
Hard Sciences,Math/Logic,What is a square number?
Hard Sciences,Math/Logic,How do you find square roots?
Hard Sciences,Math/Logic,What is a math game?
Hard Sciences,Math/Logic,How can games help us learn math?
Hard Sciences,Math/Logic,What is a logic puzzle?
Hard Sciences,Math/Logic,How do you solve a logic puzzle?
Hard Sciences,Math/Logic,What is the Fibonacci sequence?
Hard Sciences,Math/Logic,How does the Fibonacci sequence appear in nature?
Hard Sciences,Math/Logic,What is symmetry in math?
Hard Sciences,Math/Logic,How do we use math in sports?
Hard Sciences,Math/Logic,What are congruent shapes?
Hard Sciences,Math/Logic,How do we find the median of a set of numbers?
Hard Sciences,Math/Logic,What is a mode in math?
Hard Sciences,Math/Logic,How do you find the range of numbers?
Hard Sciences,Math/Logic,What is a data set?
Hard Sciences,Math/Logic,How do you analyze data?
Hard Sciences,Math/Logic,What is a histogram?
Hard Sciences,Math/Logic,How do we use statistics in our lives?
Hard Sciences,Math/Logic,What is the importance of math in science?
Hard Sciences,Math/Logic,What is a Venn diagram?
Hard Sciences,Math/Logic,How do we use math to tell time?
Hard Sciences,Math/Logic,What is a calculator?
Hard Sciences,Math/Logic,How do we use calculators to solve problems?
Hard Sciences,Math/Logic,What is an inequality symbol?
Hard Sciences,Math/Logic,What is the difference between a line and a line segment?
Hard Sciences,Math/Logic,How do you find the slope of a line?
Hard Sciences,Math/Logic,What are ordered pairs?
Hard Sciences,Math/Logic,How do you find the volume of a cube?
Hard Sciences,Math/Logic,What is a three-dimensional shape?
Hard Sciences,Math/Logic,What is a two-dimensional shape?
Hard Sciences,Math/Logic,How does math help us make decisions?
Hard Sciences,Math/Logic,What is a mathematical proof?
Hard Sciences,Math/Logic,How do we tell if a triangle is right-angled?
Hard Sciences,Math/Logic,What are complementary angles?
Hard Sciences,Math/Logic,How do we use math in budgeting?
Hard Sciences,Math/Logic,What is a budget?
Hard Sciences,Math/Logic,How do we calculate discounts?
Hard Sciences,Math/Logic,What is a scale in math?
Hard Sciences,Math/Logic,How do we use maps in math?
Hard Sciences,Math/Logic,What is an exponent?
Hard Sciences,Math/Logic,How do exponents work?
Hard Sciences,Math/Logic,What is a mathematical constant?
Hard Sciences,Math/Logic,What is the value of pi?
Hard Sciences,Math/Logic,What is a number?
Hard Sciences,Math/Logic,Can you explain what multiplication means?
Hard Sciences,Math/Logic,Why is division important?
Hard Sciences,Math/Logic,What are fractions?
Hard Sciences,Math/Logic,How do you compare two fractions?
Hard Sciences,Math/Logic,What is a decimal?
Hard Sciences,Math/Logic,What is a pattern in math?
Hard Sciences,Math/Logic,How do you solve a puzzle with numbers?
Hard Sciences,Math/Logic,What is geometry?
Hard Sciences,Math/Logic,What shapes can you find in geometry?
Hard Sciences,Math/Logic,Why do we use graphs?
Hard Sciences,Math/Logic,How do you read a graph?
Hard Sciences,Math/Logic,What is an equation?
Hard Sciences,Math/Logic,Can you explain what variables are?
Hard Sciences,Math/Logic,What is a prime number?
Hard Sciences,Math/Logic,What are angles?
Hard Sciences,Math/Logic,Why do we make estimates in math?
Hard Sciences,Math/Logic,How do you tell time with numbers?
Hard Sciences,Math/Logic,What is a math problem?
Hard Sciences,Math/Logic,Why do we use money in math?
Hard Sciences,Math/Logic,How can math help us in everyday life?
Hard Sciences,Math/Logic,How do you make logical decisions?
Hard Sciences,Math/Logic,How do you solve for x in an equation?
Hard Sciences,Math/Logic,Why do we learn about percentages?
Hard Sciences,Math/Logic,How do you create a bar graph?
Hard Sciences,Math/Logic,How do you add fractions together?
Hard Sciences,Math/Logic,What is a math sequence?
Hard Sciences,Math/Logic,What does it mean to be 'equal' in math?
Hard Sciences,Math/Logic,How do you find the missing number in a sequence?
Hard Sciences,Math/Logic,What is a math riddle?
Hard Sciences,Math/Logic,Why do we use math in science?
Hard Sciences,Math/Logic,How does math help us understand nature?
Hard Sciences,Math/Logic,Why do we need to learn about numbers?
Hard Sciences,Astronomy,What is a star?
Hard Sciences,Astronomy,How far away is the Moon?
Hard Sciences,Astronomy,Why do stars twinkle?
Hard Sciences,Astronomy,What are planets made of?
Hard Sciences,Astronomy,How does the Earth move around the Sun?
Hard Sciences,Astronomy,Why is Mars called the Red Planet?
Hard Sciences,Astronomy,How do we know what the stars are made of?
Hard Sciences,Astronomy,What is the Milky Way?
Hard Sciences,Astronomy,What causes a solar eclipse?
Hard Sciences,Astronomy,How do astronauts float in space?
Hard Sciences,Astronomy,Why can't we see the stars during the day?
Hard Sciences,Astronomy,What is the biggest planet in our solar system?
Hard Sciences,Astronomy,How do telescopes work?
Hard Sciences,Astronomy,What do we call the study of space?
Hard Sciences,Astronomy,Why do comets have tails?
Hard Sciences,Astronomy,How many moons does Jupiter have?
Hard Sciences,Astronomy,What are asteroids?
Hard Sciences,Astronomy,Why do we have a leap year?
Hard Sciences,Astronomy,What is the difference between a planet and a star?
Hard Sciences,Astronomy,How do scientists know the age of the universe?
Hard Sciences,Astronomy,What is light-year?
Hard Sciences,Astronomy,Why are some planets gas giants?
Hard Sciences,Astronomy,How do we find exoplanets?
Hard Sciences,Astronomy,What is the North Star?
Hard Sciences,Astronomy,Why do we explore space?
Hard Sciences,Astronomy,What happens in a black hole?
Hard Sciences,Astronomy,What is the Andromeda Galaxy?
Hard Sciences,Astronomy,What are shooting stars?
Hard Sciences,Astronomy,How do scientists study the universe?
Hard Sciences,Astronomy,What is dark matter?
Hard Sciences,Astronomy,Why do planets orbit the Sun?
Hard Sciences,Astronomy,What is the temperature in space?
Hard Sciences,Astronomy,How does the Sun produce energy?
Hard Sciences,Astronomy,What are the rings of Saturn made of?
Hard Sciences,Astronomy,Why does the Moon change shape?
Hard Sciences,Astronomy,What is a nebula?
Hard Sciences,Astronomy,How do we communicate with astronauts in space?
Hard Sciences,Astronomy,What is zero gravity?
Hard Sciences,Astronomy,Why do some stars die?
Hard Sciences,Astronomy,How does the Earth protect us from space radiation?
Hard Sciences,Astronomy,What is the closest star to Earth?
Hard Sciences,Astronomy,Why do we need to study asteroids?
Hard Sciences,Astronomy,What are the phases of the Moon?
Hard Sciences,Astronomy,How are stars born?
Hard Sciences,Astronomy,What is a light-year used for?
Hard Sciences,Astronomy,What are the different types of galaxies?
Hard Sciences,Astronomy,What is the Hubble Space Telescope?
Hard Sciences,Astronomy,Why is the Sun important for life on Earth?
Hard Sciences,Astronomy,How do we know the universe is expanding?
Hard Sciences,Astronomy,What are the Great Lakes of space?
Hard Sciences,Astronomy,Why do some planets have rings?
Hard Sciences,Astronomy,What is the difference between a meteor and a meteoroid?
Hard Sciences,Astronomy,How does a space shuttle launch?
Hard Sciences,Astronomy,What is the role of NASA?
Hard Sciences,Astronomy,Why do astronauts wear spacesuits?
Hard Sciences,Astronomy,How do we detect black holes?
Hard Sciences,Astronomy,What are pulsars?
Hard Sciences,Astronomy,Why do some stars look red and others look blue?
Hard Sciences,Astronomy,What is the Kuiper Belt?
Hard Sciences,Astronomy,How do planets form?
Hard Sciences,Astronomy,What is the observable universe?
Hard Sciences,Astronomy,Why do we celebrate World Space Week?
Hard Sciences,Astronomy,What causes the Northern Lights?
Hard Sciences,Astronomy,How many galaxies are there?
Hard Sciences,Astronomy,What is space junk?
Hard Sciences,Astronomy,Why can't we breathe in space?
Hard Sciences,Astronomy,What is the International Space Station?
Hard Sciences,Astronomy,How long does it take to get to Mars?
Hard Sciences,Astronomy,What is the purpose of a space probe?
Hard Sciences,Astronomy,What are dwarf planets?
Hard Sciences,Astronomy,How do we know about the Big Bang?
Hard Sciences,Astronomy,Why do some stars explode?
Hard Sciences,Astronomy,What is a galaxy cluster?
Hard Sciences,Astronomy,How do orbits work?
Hard Sciences,Astronomy,What is an eclipse?
Hard Sciences,Astronomy,What does it mean when a star goes supernova?
Hard Sciences,Astronomy,Why do we have constellations?
Hard Sciences,Astronomy,How do we measure distances in space?
Hard Sciences,Astronomy,What is a solar system?
Hard Sciences,Astronomy,What are the dangers of space travel?
Hard Sciences,Astronomy,How do we know the shape of the Earth?
Hard Sciences,Astronomy,What is a cosmic ray?
Hard Sciences,Astronomy,Why do we need satellites?
Hard Sciences,Astronomy,What is the significance of the Moon landing?
Hard Sciences,Astronomy,How do black holes affect time?
Hard Sciences,Astronomy,Why do some planets have atmospheres?
Hard Sciences,Astronomy,What is a space colony?
Hard Sciences,Astronomy,How do we study the surface of other planets?
Hard Sciences,Astronomy,What is the significance of the Mars Rover?
Hard Sciences,Astronomy,How do scientists track asteroids?
Hard Sciences,Astronomy,What is the purpose of space exploration?
Hard Sciences,Astronomy,How do we know the Earth orbits the Sun?
Hard Sciences,Astronomy,What is a planet?
Hard Sciences,Astronomy,How many planets are in our solar system?
Hard Sciences,Astronomy,Why is the Moon important?
Hard Sciences,Astronomy,How does the Sun make light?
Hard Sciences,Astronomy,What are constellations?
Hard Sciences,Astronomy,Why do we see different phases of the Moon?
Hard Sciences,Astronomy,How far is the nearest star?
Hard Sciences,Astronomy,Can we live on other planets?
Hard Sciences,Astronomy,How do astronauts travel to space?
Hard Sciences,Astronomy,What are meteors?
Hard Sciences,Astronomy,What is gravity?
Hard Sciences,Astronomy,How do the seasons change?
Hard Sciences,Astronomy,How do we know how old the universe is?
Hard Sciences,Astronomy,Can you see stars in the daytime?
Hard Sciences,Astronomy,What are solar and lunar eclipses?
Hard Sciences,Astronomy,How do planets keep orbiting the Sun?
Hard Sciences,Astronomy,What is the largest planet?
Hard Sciences,Astronomy,How do we map the night sky?
Hard Sciences,Astronomy,What are exoplanets?
Hard Sciences,Astronomy,What do astronauts eat in space?
Hard Sciences,Astronomy,How do stars form?
Hard Sciences,Astronomy,What is space made of?
Hard Sciences,Astronomy,What is a shooting star?
Hard Sciences,Astronomy,How do we communicate with space probes?
Hard Sciences,Astronomy,What are space missions?
Hard Sciences,Astronomy,Why do we need to study space?
Hard Sciences,Astronomy,What is an asteroid belt?
Hard Sciences,Astronomy,How do satellites work?
Hard Sciences,Astronomy,Why do planets have different colors?
Hard Sciences,Astronomy,How do we know what other planets are like?
Hard Sciences,Astronomy,What happens when a star runs out of fuel?
Hard Sciences,Astronomy,What is a galaxy?
Hard Sciences,Astronomy,How do we know there are other galaxies?
Hard Sciences,Astronomy,How does the Earth stay in place in space?
Hard Sciences,Astronomy,What is the evidence for the Big Bang?
Hard Sciences,Theoretical Physics,What is theoretical physics?
Hard Sciences,Theoretical Physics,Why do we study theoretical physics?
Hard Sciences,Theoretical Physics,How do physicists use mathematics in theoretical physics?
Hard Sciences,Theoretical Physics,What are the basic concepts of theoretical physics?
Hard Sciences,Theoretical Physics,How does gravity work?
