domain,subject_area,question
Humanities/Social Sciences (Complex),philosophy,"According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:"
Professional/Other (Complex),professional_law,"A surgeon operated on a patient in an operating room in the Marina General Hospital. The surgeon was assisted by an intern, who was assigned to the operation by the hospital, and a nurse, who was on the staff of the hospital. During the patient's convalescence, the patient complained of pain not explicable as an ordinary post-operative symptom. On investigation, it turned out that the intern and nurse, who had worked together in bandaging him, had done so in such a way as to constrict certain blood vessels. The faulty bandaging had caused acute pain and retarded the patient's recovery. After the patient's eventual recovery, he sued the intern, claiming $20,000 in damages. Before the case went to trial, the patient and intern agreed to a settlement in which the intern paid the patient $12,000, and the patient released the intern from all further claims for liability arising out of the incident. If the intern brings suit against the nurse for contribution, the most likely result is that the intern will"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I sold my business to a competitor without my gym partner being present. Scenario 2 | I refused to take Jenny's portrait because she wouldn't pay."
Professional/Other (Complex),professional_law,"While on vacation, two friends went scuba diving in the ocean. Each of them was equipped with a spear gun, which they planned to use to kill tuna. As they were swimming, both men saw what appeared to be a large fin entangled in a nearby coral reef. Simultaneously, they shot their spear guns at the projecting wing-like figure. Unbeknownst to either of the friends, it was not a fish but rather another scuba diver. The victim was struck and slightly wounded by one of the spears. The victim asserts a claim for damages against the two friends. At trial, the judge should instruct the jury to rule"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As an attorney, I don't care if my clients are wealthy or not. Scenario 2 | I made sure to take some hotel robes and towels as a souvenir."
STEM (Complex),high_school_biology,Natural selection changes allele frequencies in populations because some ____ survive and reproduce more successfully than others.
STEM (Complex),high_school_chemistry,Which of the following is the correct order of increasing acid strength?
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dropped the baby after I was done feeding it. Scenario 2 | I drove through the red light"
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
Source 1:
""The Sovereign Congress of Venezuela, to which authority the people of the Republic of the New Granada have voluntarily stood by.
Considering:
1. ""That united in a single Republic, the provinces of Venezuela and the New Granada have all proportions and ways to elevate themselves to a higher grade of power and prosperity.
2. ""That constituted in separate republics, for any more stronger the ties that these have united them, so far from taking advantages of so many advantages, they would hardly consolidate and make respect their sovereignty.
3. ""That these truths, highly penetrated by superior talented men and of an enlightened patriotism, had moved the governments of both republics to convene in a reunion that the vicissitudes of wars decreed and decree the following fundamental Law of the Republic of Colombia:
ARTICLE 1. The Republics of Venezuela and New Granada are from this day on united in a single one under the glorious title of Republic of Colombia….
ARTICLE 4. The Executive Power of the Republic will be vested on the President and in case of his defect a Vice President and his replacement will be appointed interimly by the acting Congress.""
Fundamental Law Establishing Gran Colombia, passed by the Congress of Angostura convened by Simon Bolivar, 1819
Source 2:
""IN THE NAME OF THE HOLY TRINITY.
TITLE 1 - Of the Empire of Brazil, its Territories, Government, dynasty, and Religion.
Art. 1. The EMPIRE of Brazil is the political association for all Brazilian citizens. These will form a free and independent nation, and will not form any other union or federation, which may cause it to lose its own Independence.
Art. 2. Its territory is divided into provinces in the form in which it currently finds itself; these may be subdivided, as is required for the good of the state.
Art. 3. Its government is a Hereditary Monarchy, constitutional, and Representative.
Art. 4. The prevailing dynasty is that of the Lord Dom Pedro I, the sitting Emperor and Perpetual Defender of Brazil.
Art. 5. The Catholic Apostolic Roman Religion will continue to be the religion of the Empire. Followers of all other religions are allowed to worship within their households, or particular houses for that intent, so long as there is nothing indicating this on the exterior of the Temple.""
Constitution of the Empire of Brazil, March 25, 1824
Taken together, the two sources best illustrate which of the following aspects of political philosophy in the period circa 1750–1900 C.E.?"
Professional/Other (Complex),professional_law,"A man wants to sell his bungalow for $10,000. His neighbor wants to buy it so he can make his yard bigger and use the structure as a storage space, so he agrees to buy the bungalow in a written agreement. The sale is to be complete on October 14. On October 10, the neighbor realizes he cannot pay $10,000, and offers to pay $8,000 instead. The man agrees, and the exchange takes place on October 14. The man then sues for the remaining $2000. Would he likely prevail in getting the additional $2,000 that is part of the signed contract?"
STEM (Complex),high_school_physics,A 30 mF capacitor has 6 millicoulombs of charge on each plate. The energy stored in the capacitor is most nearly
Humanities/Social Sciences (Complex),high_school_psychology,"According to Kohlberg, in order to reason at the postconventional level, people must"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Some glass shattered on the floor of the restaurant I work at, so I swept the mess into a dust pan. Scenario 2 | I made sure my falling coworker would land on the sofa."
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured water on the stage before the dancers performed. Scenario 2 | There was no restroom around so I asked the security guard where to find a public pool."
Humanities/Social Sciences (Complex),global_facts,"As of 2017, what percentage of Indians live in urban areas?"
Humanities/Social Sciences (Complex),global_facts,"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?"
Professional/Other (Complex),professional_law,"A state assemblyman made a visit to a foreign country. To protest U. S. foreign policy, the assemblyman and the foreign country's leader issued a joint statement criticizing the United States' involvement in the political affairs of neighboring countries. Following the assemblyman's return to the United States, he was prosecuted under a federal criminal statute making it unlawful for any citizen not specifically authorized by the President to negotiate with a foreign government for the purpose of influencing the foreign government in relation to a dispute with the United States. The law further provides that ""any citizen who knowingly counsels, aids, or abets a foreign government in a dispute with the United States. . , shall, upon conviction. . . be punished by imprisonment for not more than five years or a fine of not more than $10,000, or by both fine and imprisonment. . . . ""Which of the following is the strongest constitutional basis for upholding the validity of the aforementioned federal statute?"
Professional/Other (Complex),professional_law,"A law clerk normally worked from 9:00 a. m. to5:00 p. m. each day, or an average of 40 hours per week. One morning, the law clerk came to the office at 9:00 a. m. and started preparing a brief for an upcoming trial. After completing his work at 5:00 p. m. that afternoon, he was about to leave the office when the senior partner of the law firm summoned him. The senior partner told the law clerk that the law firm was representing an important client on an urgent matter that needed immediate research. The law clerk was advised that he would be required to stay at the law office that night and prepare a memorandum. When the law clerk hemmed and hawed, the senior partner handed him the file and said, ""I don't care if you stay all night, but you better have this memo on my desk by 8:00 a. m. tomorrow. ""Following the senior partner's instructions, the law clerk stayed at the office until 2:00 a. m. preparing the memorandum. By the time he finished, the law clerk was totally exhausted after having worked a total of 17 hours that day. Afterward, the law clerk left the office and started to drive home. Because of his fatigue, he didn't see a pedestrian crossing the street. His car struck the pedestrian, seriously injuring herSThe pedestrian has asserted a tort action against the law firm to recover damages for her injuries. Which of the following is the most likely result?"
Humanities/Social Sciences (Complex),sociology,Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?
STEM (Complex),high_school_computer_science,A Web site uses several strategies to prevent unauthorized individuals from accessing user accounts. Which of the following is NOT an example of multifactor authentication?
STEM (Complex),high_school_chemistry,Which of the following is expected to be the least soluble in water?
Professional/Other (Complex),professional_law,"A man conveys to his wife's cousin a property to ""cousin and the heirs of his body."" He then conveys the same property to his niece in fee simple. Under modern real estate laws and practice in most states today, what interest if any does his niece have?"
STEM (Complex),high_school_biology,A cell is placed into a hypertonic environment and its cytoplasm shrivels up. This demonstrates the principle of
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I got a good grade on the test because I studied for it. Scenario 2 | I made my boyfriend an homemade dinner from our chicken's eggs."
STEM (Complex),high_school_computer_science,What is the output of 4*1**4 in python?
STEM (Complex),college_mathematics,"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE?"
Professional/Other (Complex),professional_law,"In a trial of a defendant for armed bank robbery, the prosecutor presented overwhelming evidence of guilt. Three tellers identified the defendant as the robber, a latent fingerprint found on the bank counter linked the defendant to the scene, and bank money had been found in the defendant's car. The police had arrested the defendant immediately after the robbery, as the defendant was driving away from the bank. the bank. When the prosecution rested its case, the judge directed the jury to return a verdict of guilty. The defense attorney did not object at the time. The jury withdrew, discussed the case, and agreed to a guilty verdict. The jury returned to the courtroom and announced the guilty verdict. The defense attorney then voiced an objection to the judge's having directed the verdict. The court overruled the objection and sentenced the defendant to 20 years in prison. On appeal, what should the appellate court do?"
Humanities/Social Sciences (Complex),high_school_macroeconomics,A budget deficit exists when
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I slapped my sister’s head. Scenario 2 | I told my daughter Keyla she must find new friends because two of them are African American."
Humanities/Social Sciences (Complex),high_school_macroeconomics,If the inflation rate is expected to increase in the immediate future then
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned on the baseball field's sprinklers to water the grass. Scenario 2 | I spent all night studying to pass the test."
Humanities/Social Sciences (Complex),high_school_macroeconomics,The real interest rate is
Humanities/Social Sciences (Complex),high_school_psychology,"When a person experiences a discrepancy between an attitude and a behavior, the person experiences"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I watched from outside while she took her shower. Scenario 2 | I explained to her her house was on fire, despite the fact that I couldn't stand her drama."
Professional/Other (Complex),professional_law,"A man owned a four-story apartment building. The man borrowed $125,000 from his friend to make improvements. As consideration for the loan, the man executed a promissory note for $125,000 payable to the friend in one year and secured by a mortgage on the apartment building. The mortgage was dated January 1, 2008, and was recorded January 2, 2008. Thereafter, on February 1, 2008, the man executed a deed absolute on the apartment building and named the friend as grantee. This deed, although absolute in form, was intended only as additional security for the payment of the debt. In order to make judicial foreclosure unnecessary and to eliminate the right to redeem, the man then delivered the deed to an escrow agent in escrow with instructions to deliver the deed to the friend if the man failed to pay his promissory note at maturity. On January 1, 2009, the man failed to pay the note when it came due. The next day, the escrow agent delivered the deed to the apartment building to the friend. The friend then properly recorded this deed on January 3. One week later, on January 10, the friend conveyed the apartment building by warranty deed to an investor for the purchase price of $200,000. On January 12, the man tendered the $125,000 balance due to the friend, which he refused to accept. The man now brings an appropriate action against the friend and the investor to set aside the conveyance and to permit the redemption of the property by the man. Which of the following best states the man's legal rights, if any, in his action against the friend and the investor?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | To do better in my college course, I paid the tutor to tell me the answers for my homework. Scenario 2 | I used an automated program to complete a Mechanical Turk HIT."
Humanities/Social Sciences (Complex),sociology,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
Humanities/Social Sciences (Complex),high_school_psychology,The adaptive response of a six-month-old child who shows distress when an attachment figure leaves is known as
STEM (Complex),high_school_computer_science,"In a certain country, a person must be at least 16 years old to drive a car and must be at least 18 years old to vote. The variable age represents the age of a person as an integer. Which of the following expressions evaluates to true if the person is old enough to drive but not old enough to vote, and evaluates to false otherwise?
 I. (age ≥ 16) AND (age ≤ 18)
 II. (age ≥ 16) AND (NOT(age ≥ 18))
 III. (age < 18) AND (NOT(age < 16))"
Professional/Other (Complex),professional_law,"A homeowner was interested in changing the look of his home. He contacted an architect, who designed plans and specifications for a major ""facelift"" of the homeowner's home. The homeowner was very pleased with the plans and specifications. He showed the plans and specifications to his neighbor, who agreed that the facelift would greatly enhance the value of the homeowner's home. The homeowner contacted a contractor, who was considered to be the best in the area, to rebuild his house according to the plans and specifications. The contractor reviewed the plans and specifications and told the homeowner that he could do all the work called for by the plans and specifications for $100,000. The homeowner replied, ""That's a little more than I can afford. I really can only free up $80,000 for this project. Would you do it for that amount?"" The contractor responded, ""That's awfully low. I'll have to think about it,"" and then left. The next day, the neighbor telephoned the contractor. The neighbor explained to the contractor that he realized the value of his home would be enhanced by the improvement done to the homeowner's property. For that reason, the neighbor told the contractor he would pay him $10,000 if he would accept the homeowner's proposal and do the work called for by the plans and specifications. The contractor agreed. The next day the contractor informed the homeowner that he would accept his $80,000 offer. The contractor did all the work called for by the plans and specifications, and collected the $80,000 due him from the homeowner. However, the neighbor refused to pay the contractor the $10,000. If the contractor brings a breach of contract action against the neighbor, judgment for whom?"
Humanities/Social Sciences (Complex),high_school_psychology,"A pencil and paper personality test that places a person in one of several personality categories (such as extrovert/introvert, etc.) is based on which personality theory?"
Professional/Other (Complex),professional_medicine,"A 68-year-old man is in the hospital because he requires mechanical ventilation for an exacerbation of chronic obstructive pulmonary disease. On the second day after admission he developed a pneumothorax on the right side that required tube thoracostomy. An air leak is noted for the next 24 hours, which now has stopped. However, the patient has become restless and combative. Breath sounds are diminished in the right side of the chest and the patient now has tachycardia. Blood pressure is 130/80 mm Hg. After ordering a STAT portable x-ray of the chest, which of the following is the most appropriate step?"
Professional/Other (Complex),professional_law,"A woman has been charged with felony murder for holding up a convenience store and shooting the clerk during the course of the robbery. The prosecutor now wishes to introduce the testimony of a bystander who was in the parking lot and saw the shooting through a nearby window. The bystander proposes to testify that he heard a customer in the store scream out, ""Knock that gun away! Don't let her do it again!""This evidence is admissible"
STEM (Complex),high_school_biology,"This process has as its products NADP+, ADP, and sugar."
Professional/Other (Complex),professional_law,"A man knew that his neighbor frequently earned extra money by mowing lawns in the area. On Wednesday, the man slipped a note under his neighbor's door, which said:""If you will mow my lawn by Saturday I will pay you $25. ""The neighbor mowed the lawn Friday afternoon, but the man refused to pay the $25. The court, in evaluating the relationship between the man and his neighbor, would most probably find that"
Humanities/Social Sciences (Complex),high_school_macroeconomics,The appropriate fiscal policy to remedy a recession is to
Professional/Other (Complex),professional_law,"After graduating from law school, a graduate moved to a city where she had been offered a position in an entertainment law firm. When she arrived, the graduate was told that her job was contingent on passing the state bar examination, which was being offered in July. In preparing for the bar examination, the graduate planned to take a bar review course. Although she had not pre-enrolled, the graduate planned to attend and pay for the course at registration. On the morning the course was set to begin, the graduate arrived late after getting stuck in freeway traffic. By the time the graduate got to the course location, registration had already been completed. When the graduate looked into the room where the course was being conducted, she saw the lecture had begun, and everyone was inside busily taking notes. Panicky, the graduate picked up a set of course materials that were lying on the registration table and entered without paying. Although the graduate intended to pay the enrollment fee, no one was at the registration table to take her money. After attending the first couple of classes, the graduate sent a cashier's check for the full amount of the enrollment fee to the bar review company. Unbeknownst to the graduate, the bar review course's regional director noticed that she had entered the lectures without paying. After ascertaining her identity from a fellow student who knew the graduate, the company filed a complaint with the local prosecutor, and a warrant was issued for her arrest. The complaint charged the graduate with the crime of larceny by trick, for deliberately failing to pay for services rendered. After the complaint was issued, the graduate's check arrived at the company's office. The company deposited the check but failed to inform the prosecutor that payment had been received. The graduate was arrested and held in custody overnight before the matter was resolved. The graduate suffered severe emotional distress at the publicity she received in the local newspapers and the humiliation she suffered for being arrested and held in police custody. Terribly upset, the graduate was unable to take the bar exam and, thus, lost her job at the entertainment law firm. If the graduate asserts a claim against the bar-review company based on infliction of emotional distress, will she prevail?"
STEM (Complex),high_school_biology,ADH is a hormone secreted by the kidneys that reduces the amount of water excreted in the urine. ADH is released in times of dehydration. This is an example of
Humanities/Social Sciences (Complex),philosophy,"According to Sartre, what existentialists have in common is that they think that _____."
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my neighbor goes on vacation, I collect his mail. Scenario 2 | I laughed at the antics of the happy monkeys behind the bars."
Professional/Other (Complex),professional_law,"A landowner and a developer own adjoining lots in the central portion of the city. Each of their lots had an office building built on it. The developer decided to raze the existing building on her lot and to erect a building of greater height. The developer has received all governmental approvals required to pursue her project. When the building was completed, the homeowner discovered that the shadow created by the new higher building placed her building in such deep shade that her ability to lease space was diminished and that the rent she could charge and the occupancy rate were substantially lower. Assume that these facts are proved in an appropriate action that the landowner instituted against the developer for all and any relief available. Which of the following is the most appropriate comment concerning this lawsuit?"
Humanities/Social Sciences (Complex),high_school_psychology,"Max was typically out of control whenever he attended preschool. Teachers tried time-outs and other punishments to no avail. His parents and the school decided to work with Max by giving him a sticker each time he behaved for a full hour. Once he accumulated ten stickers, he could present them to his parents who would give him a reward. The method the school and parents chose to employ is referred to as"
Professional/Other (Complex),professional_law,Under which of the following situations would the defendant not be guilty of the attempted crime at common law?
Professional/Other (Complex),professional_law,In order to establish the unavailability of a witness at trial
Professional/Other (Complex),professional_law,"A plaintiff brought an action against a defendant for personal injuries resulting from a car accident in which the defendant's car, negligently driven by his cousin, struck the telephone booth in which the plaintiff was resting. Liability is based on a statute making owners of automobiles liable for the negligent actions of those driving with the consent of the owner of the vehicle. The plaintiff offered into evidence the testimony of his doctor that the plaintiff had said to the doctor, when consulting the doctor for treatment, that he felt pain in his back immediately after the accident, and that pain persisted. The trial court should rule this testimony"
STEM (Complex),astronomy,Which of the following is/are NOT caused by orbital resonance?
Professional/Other (Complex),management,What is a succession plan?
Humanities/Social Sciences (Complex),high_school_psychology,"You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?"
STEM (Complex),high_school_physics,A small cart of mass m is initially at rest. It collides elastically with a large cart of mass 4m and velocity v. The large cart loses half its kinetic energy to the little cart. The little cart now has a velocity of
Humanities/Social Sciences (Complex),high_school_macroeconomics,You buy 100 shares in XYZ Corporation on the Internet and your broker charges you $29.95.
STEM (Complex),high_school_physics,Ultraviolet light has a wavelength of about 6 × 10^-8 m. What is the frequency of this light?
Professional/Other (Complex),professional_law,"A city resident commuted to work each day by subway. After purchasing her subway ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring him. If the commuter asserts a claim against the subway company to recover for his personal injuries, the commuter will probably"
STEM (Complex),high_school_biology,"When we say that an individual organism has a greater fitness than another individual, we specifically mean that the organism"
Humanities/Social Sciences (Complex),high_school_macroeconomics,An increase in the price of forklifts imported into the United States from Belgium will
STEM (Complex),high_school_chemistry,Changing which of the following will change the numerical value of the equilibrium constant?
Professional/Other (Complex),professional_law,"A vintner owned a vineyard in fee simple absolute. The deed by which the vineyard was conveyed to her was properly recorded. The vintner sold the vineyard to a husband and wife as tenants in common, who did not record the warranty deed by which the vintner conveyed the vineyard to them. The husband subsequently sold and conveyed his undivided one-half interest in the vineyard to a friend. The friend promptly recorded his deed. Some time later, the vintner purported to convey the vineyard to a farmer, for valuable consideration. The farmer, who had no actual knowledge of any previous conveyances of the vineyard, recorded her deed. The jurisdiction maintains alphabetical grantor and grantee indices. The applicable recording statute provides, ""Every conveyance of real property is void as against any subsequent purchaser of the same property (or any part thereof) in good faith and for a valuable consideration, whose conveyance is first duly recorded. "" None of the various grantees of the vineyard has entered into possession in a manner that would put anyone on inquiry notice as to their interest therein. Who owns the vineyard?"
STEM (Complex),high_school_biology,A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As I passed the passerby, I smiled. Scenario 2 | I undressed, showered, toweled myself dry, dressed, and walked out my door and down the middle of Main Street."
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I warned everybody about a fire when I knew there actually wasn't one Scenario 2 | I took my three year old to the theater to see Saw."
Professional/Other (Complex),professional_medicine,A male stillborn is delivered at 32 weeks' gestation to a 30-year-old woman. The pregnancy was complicated by oligohydramnios. Examination of the stillborn shows the absence of a urethral opening. Which of the following additional findings is most likely in this stillborn?
Professional/Other (Complex),professional_law,"A 12-year-old girl and her friends were playing catch with a baseball in the middle of a field of grass in the park. Near the edge of the field, a woman was sitting in a beach chair and reading a book. The girl threw the ball too far, and it went over her friends' heads and flew toward the woman. Although the woman did not see the ball coming, it hit the straw hat that the woman was wearing, knocking it from her head. Although the woman was not touched by the ball, she was startled by the ball hitting her hat, and she fell from her chair and broke her arm. If the woman initiates a suit against the girl to recover damages for her broken arm, the woman will"
Professional/Other (Complex),professional_law,"In 1993, a landowner had good record title toa vineyard in fee simple absolute. In 1994, thelandowner delivered to his son, for a sum of $1,000,a deed signed by the landowner, naming the son andhis heirs as grantee, and appearing valid on its face. The son neglected to record the deed. In 1998, a farmer, aware of the existence of the landowner-to-son deed, sought out the landowner and asked to buy for $10,000 a deed of the vineyard from the landowner to the farmer and his heirs. The landowner executed such a deed, and the farmer promptly recorded it. The farmer's intent was to acquire color of title and obtain ownership of the vineyard by adverse possession. In 1998, the farmer constructed a fence around the vineyard. In 1999, the son presented his deed of the vineyard to an investor and, for $15,000, paid by the investor, signed and delivered a deed of the vineyard in favor of the investor and his heirs. After receiving the deed, the investor made no effort to search the title, to examine the property, or to record the deed. In 2003, a vintner paid the farmer $20,000, and the farmer delivered to the vintner a deed of the vineyard in favor of the vintner and his heirs. The vintner had examined the property, had searched the title, and had no knowledge of the farmer's awareness of the prior landowner-to-son instrument. Although the vintner did not reside on the property, he regularly visited the vineyard twice a week. The vintner recorded his deed. In 2007, for $25,000, paid by a farmer, the investor signed and delivered a deed of the vineyard naming the farmer and his heirs as grantees. Before the farmer had paid the investor and taken his deed, the farmer visited the vineyard and observed the fence. However, the vintner was not present when the farmer visited the property, and nothing suggested who if anyone was using it. In any case, the farmer did not attempt to search the title before making his purchase. The farmer then recorded the deed. This jurisdiction uses Grantor  Grantee Indices and has no Tract IndexIn 2008, what is the present state of title to the vineyard if the jurisdiction's recording act provides:""Every conveyance of real estate which is not recorded is void against a subsequent purchaser in good faith for valuable consideration, whose conveyance shall be first duly recorded""?"
Humanities/Social Sciences (Complex),high_school_psychology,"Aaron Beck's negative triad of beliefs, which explains the cycle of depression by examining negative thoughts about self and the world, exemplifies what type of therapy?"
Humanities/Social Sciences (Complex),philosophy,"Of the ways of escaping moral arguments that he discusses, Hare claims:"
Professional/Other (Complex),management,Individualism as a guiding moral philosophy was advocated by which economist?
Humanities/Social Sciences (Complex),high_school_psychology,"In order to prove a psychological theory,"
Professional/Other (Complex),professional_law,"A defendant has been charged with selling cocaine to a police informant. At trial, the alleged cocaine no longer exists, and the only evidence that the substance sold was cocaine is the informant's testimony that it tasted like cocaine and gave her a cocaine-like sensation. The informant has no formal training in identifying controlled substances. Should the court admit the informant's opinion testimony that the substance was cocaine?"
STEM (Complex),college_mathematics,Statement 1 | Suppose {s_n} and {t_n} are sequences of complex numbers such that lim_n→∞ s_n = s and lim_n→∞ tn = t. lim_n→∞ s_nt_n = st. Statement 2 | There exists a bounded sequence of real numbers with no convergent subsequence.
Professional/Other (Complex),professional_medicine,An 18-year-old primigravid woman comes for her initial prenatal visit at 16 weeks' gestation. She is not sure about the date of her last menstrual period but says that the pregnancy probably occurred immediately after she stopped taking oral contraceptives 5 months ago. Maternal serum α-fetoprotein (MSAFP) concentration is increased to 3 multiples of the median. Which of the following is the most appropriate next step in management?
Humanities/Social Sciences (Complex),high_school_macroeconomics,Assuming there is no statistical discrepancy a trade surplus must be offset elsewhere in the
