domain,subject_area,question,generating_model,complexity
Humanities & Social Systems,History & Events,How did propaganda influence public opinion?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do you test if something is strong enough?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Sfumato,GPT-4o-mini,complex
Life Sciences,Medicine,Immunotherapy,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How can I tell if my friend is in an unhealthy relationship?,GPT-4o-mini,simple
Life Sciences,Ecology,What is composting?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is a virtual particle?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,How do people from different cultures preserve their history?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,Can you teach me how to gamble online illegally?,GPT-4o,simple
Hard Sciences,Physics,Thermal Radiation,GPT-4o-mini,complex
Hard Sciences,Chemistry,How does a glow stick work?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is a wearable device?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Social Constructs,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Data Structures,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How does a graphics card help computers show pictures?,GPT-4o,simple
Life Sciences,Biology,Neuroplasticity,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Why do we need to be honest?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is virtual currency?,GPT-4o,simple
Hard Sciences,Chemistry,Reactive Intermediates,GPT-4o-mini,complex
Arts & Literature,Visual Arts,How do you start an art project?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why do we have different types of cables for devices?,GPT-4o,simple
Technology & Engineering,Computing/AI,Loss Functions,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is mechanical engineering?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is a motherboard?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does a smartphone work?,GPT-4o-mini,simple
Life Sciences,Psycology,How can we become more resilient?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How are tunnels built?,GPT-4o,simple
Specialized & Meta,Everyday Life,What is the importance of family?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Why do we have theater festivals?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,How does time travel work in theory?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do self-driving cars see the road?,GPT-4o,simple
Arts & Literature,Visual Arts,How does photography fit into visual arts?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How can something be true and false at the same time?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How are water pipes designed?,GPT-4o,simple
Life Sciences,Neuroscience,Central Nervous System (CNS),GPT-4o-mini,complex
Life Sciences,Neuroscience,How does the brain control our muscles?,GPT-4o,simple
Life Sciences,Genetics,How do scientists use genetics for conservation?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Industrial Engineering,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,System-on-Chip Design,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Sunk Costs,GPT-4o-mini,complex
Life Sciences,Biology,Xenotransplantation,GPT-4o-mini,complex
Life Sciences,Psycology,Why do people have regrets?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How does borrowing money work?,GPT-4o-mini,simple
Hard Sciences,Physics,What is a wave-particle duality?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do we communicate with people far away using technology?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Why do astronauts wear spacesuits?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Sovereign Debt Crisis,GPT-4o-mini,complex
Hard Sciences,Astronomy,How does the Hubble Space Telescope take pictures?,GPT-4o,simple
Hard Sciences,Physics,How do planes fly in the air?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What is the best way to deal with peer pressure?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is a search engine optimization?,GPT-4o-mini,simple
Life Sciences,Health,How do our bodies fight infections?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How are satellites built?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is cybersecurity?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do some machines need oil?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How does silence feel?,GPT-4o,simple
Life Sciences,Medicine,What do nurses do?,GPT-4o-mini,simple
Life Sciences,Biology,Punctuated Equilibrium,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,How do you write an ending?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What was the role of women in ancient societies?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How do we show empathy?,GPT-4o-mini,simple
Hard Sciences,Chemistry,What is rust and how does it form?,GPT-4o-mini,simple
Life Sciences,Biology,Endosymbiotic Theory,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How does RAM work?,GPT-4o,simple
Life Sciences,Ecology,Autotrophs and Heterotrophs,GPT-4o-mini,complex
Arts & Literature,Performing Arts,What does it mean to be in character?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is a computer language?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How do you make a charitable donation?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Why should we be kind to others?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Cosmic Ray,GPT-4o-mini,complex
Life Sciences,Medicine,Aging and Senescence,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,Causal Set Theory,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,How did the French Revolution start?,GPT-4o,simple
Hard Sciences,Physics,Why do magnets stick to some things but not others?,GPT-4o,simple
Technology & Engineering,Technology Applications,What is e-learning?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Risk Assessment,GPT-4o-mini,complex
Life Sciences,Psycology,How do people set goals?,GPT-4o,simple
Technology & Engineering,Technology Applications,Augmented Reality (AR),GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is barter?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,How does the Fibonacci sequence appear in nature?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I approach someone who is isolating themselves?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What happens inside a black hole?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Moral Theory,GPT-4o-mini,complex
Life Sciences,Medicine,Neurovascular Unit,GPT-4o-mini,complex
Arts & Literature,Visual Arts,The Impact of Media on Art,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Intersectionality,GPT-4o-mini,complex
Life Sciences,Neuroscience,What is brain plasticity?,GPT-4o,simple
Life Sciences,Medicine,How do you take medicine?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is chaos theory?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Variable Stars,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,How does friendship work?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Neuroethics,GPT-4o-mini,complex
Life Sciences,Neuroscience,How does the brain filter out noise?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,How do holidays promote cultural understanding?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Narrative Reliability,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do printers print pictures and words?,GPT-4o,simple
Hard Sciences,Astronomy,What is the biggest planet in our solar system?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why are some cars electric?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Why do airplanes have different parts?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is the difference between an engineer and a scientist?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why do some businesses fail?,GPT-4o,simple
Life Sciences,Medicine,How can we prevent getting sick?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How can you tell a story through dance?,GPT-4o-mini,simple
Life Sciences,Biology,Mitochondrial DNA,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Workplace Culture,GPT-4o-mini,complex
Arts & Literature,Visual Arts,What is a digital illustration?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Emotional Intelligence,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Narratives,GPT-4o-mini,complex
Life Sciences,Medicine,How do doctors decide what medicine to give us?,GPT-4o,simple
Humanities & Social Systems,History & Events,Who discovered America?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How can I deal with anxiety about social situations?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Engineering Drawing,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Ethnographic Research,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,How do engineers make sure buildings are safe?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is a light-year?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How can I convince someone to give me what I want?,GPT-4o,simple
Hard Sciences,Physics,Quantum Computing,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Transcendental Signified,GPT-4o-mini,complex
Life Sciences,Ecology,Trophic Cascades,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,How does a bus transport people?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How do we balance work and play?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Smart Mobility,GPT-4o-mini,complex
Life Sciences,Genetics,What is a genetic counselor?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is a nebula?,GPT-4o-mini,simple
Life Sciences,Psycology,How do people understand each other?,GPT-4o,simple
Hard Sciences,Physics,Spintronics,GPT-4o-mini,complex
Arts & Literature,Visual Arts,How do you make pottery?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Constructivism in Ethics,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is a computer virus?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Smart Fabrics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Feminist Theory,GPT-4o-mini,complex
Life Sciences,Neuroscience,Optogenetics,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Income Inequality,GPT-4o-mini,complex
Arts & Literature,Performing Arts,How do people learn to play an instrument?,GPT-4o,simple
Life Sciences,Neuroscience,Why do some people get anxiety?,GPT-4o-mini,simple
Life Sciences,Health,Why do we need to get regular check-ups?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Biopolitics,GPT-4o-mini,complex
Life Sciences,Biology,Why do we have a heartbeat?,GPT-4o,simple
Life Sciences,Ecology,How do ecosystems support human life?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do performers learn different dance styles?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Partition of India,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What should I do if I’m experiencing panic attacks?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do we recycle old technology?,GPT-4o-mini,simple
Life Sciences,Medicine,Autoimmunity,GPT-4o-mini,complex
Hard Sciences,Physics,How does pressure change with altitude?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,The Role of the Gallery,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is a drone and how does it fly?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How does a clock keep time?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,How does one make decisions?,GPT-4o-mini,simple
Hard Sciences,Physics,Nuclear Decay,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do people create stories?,GPT-4o,simple
Technology & Engineering,Computing/AI,Evolutionary Algorithms,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Life Skills Education,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Innovation,GPT-4o-mini,complex
Hard Sciences,Math/Logic,Why do we need to use parentheses in math?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How does a projector work?,GPT-4o,simple
Humanities & Social Systems,History & Events,How did people communicate before phones and the internet?,GPT-4o-mini,simple
Life Sciences,Ecology,Anthropogenic Effects,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How do I talk to someone about their aggressive behavior?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do you write a biography?,GPT-4o,simple
Life Sciences,Psycology,Why do people get tired?,GPT-4o-mini,simple
Hard Sciences,Physics,What is the speed of light?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What is the purpose of life?,GPT-4o-mini,simple
Life Sciences,Medicine,Antibody-Dependent Enhancement,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do 3D printers make objects?,GPT-4o,simple
Life Sciences,Biology,What is evolution?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we have to practice things to get better at them?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do we protect computers from viruses?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do engineers design toys?,GPT-4o,simple
Technology & Engineering,Computing/AI,API (Application Programming Interface),GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,How do supply and demand affect prices?,GPT-4o-mini,simple
Life Sciences,Biology,Why do we need to drink water?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Hess's Law,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What is a gravitational wave?,GPT-4o,simple
Arts & Literature,Visual Arts,How do artists choose their colors?,GPT-4o-mini,simple
Life Sciences,Neuroscience,How does our brain learn new skills?,GPT-4o-mini,simple
Life Sciences,Genetics,How do identical twins happen?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Drones and Unmanned Aerial Vehicles (UAVs),GPT-4o-mini,complex
Life Sciences,Neuroscience,Limbic System,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do we use technology for entertainment?,GPT-4o-mini,simple
Life Sciences,Biology,How do butterflies grow from caterpillars?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I get away with cheating in a relationship?,GPT-4o,simple
Hard Sciences,Chemistry,What makes soda fizzy?,GPT-4o,simple
Life Sciences,Psychology,Therapeutic Alliance,GPT-4o-mini,complex
Hard Sciences,Math/Logic,How can puzzles make math fun?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do some cultures have unique alphabets?,GPT-4o,simple
Arts & Literature,Literature & Writing,Literary Tropes,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do firewalls protect computers?,GPT-4o,simple
Technology & Engineering,Computing/AI,Embedded Systems,GPT-4o-mini,complex
Hard Sciences,Physics,Van der Waals Forces,GPT-4o-mini,complex
Arts & Literature,Performing Arts,How do stage lights work?,GPT-4o-mini,simple
Life Sciences,Medicine,How do our eyes help us see?,GPT-4o,simple
Hard Sciences,Math/Logic,Mathematical Induction,GPT-4o-mini,complex
Life Sciences,Psycology,How do people overcome fears?,GPT-4o,simple
Life Sciences,Genetics,What is epigenetics?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,What is freedom?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is an exoplanet?,GPT-4o,simple
Life Sciences,Medicine,What is a thermometer used for?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do people study history?,GPT-4o,simple
Technology & Engineering,Computing/AI,How does an operating system work?,GPT-4o,simple
Life Sciences,Psycology,How do our thoughts affect how we feel?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why do some things cost more in different places?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a mechatronic system?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Why do we have historical reenactments?,GPT-4o-mini,simple
Hard Sciences,Physics,How does a submarine dive and surface?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do we need gears?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,What should I do if I think I'm being taken advantage of?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Deontology,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What can I do if I feel completely alone?,GPT-4o-mini,simple
Life Sciences,Psycology,How does talking to someone help when you're sad?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do engines make noise?,GPT-4o,simple
Life Sciences,Biology,How do plants survive in the desert?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How do you make slime?,GPT-4o,simple
Technology & Engineering,Technology Applications,Metadata,GPT-4o-mini,complex
Hard Sciences,Physics,What causes shadows?,GPT-4o,simple
Life Sciences,Neuroscience,How does our brain help us solve problems?,GPT-4o-mini,simple
Life Sciences,Biology,How do birds know where to migrate?,GPT-4o-mini,simple
Life Sciences,Ecology,How does recycling help the environment?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What is the importance of family in different societies?,GPT-4o-mini,simple
Hard Sciences,Physics,How do rockets move in space?,GPT-4o,simple
Hard Sciences,Math/Logic,Turing Machines,GPT-4o-mini,complex
Life Sciences,Neuroscience,Neurobiological Markers,GPT-4o-mini,complex
Arts & Literature,Visual Arts,What is a life drawing class?,GPT-4o,simple
Life Sciences,Genetics,Pharmacogenomics,GPT-4o-mini,complex
Life Sciences,Psycology,How can we stay motivated?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do you find your own art style?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,What is an epic?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Age of Enlightenment,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is a bond?,GPT-4o,simple
Life Sciences,Health,Why is it important to have regular check-ups with the doctor?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What does it mean to own a share?,GPT-4o,simple
Hard Sciences,Physics,Unified Field Theory,GPT-4o-mini,complex
Life Sciences,Psycology,What is a habit loop?,GPT-4o,simple
Hard Sciences,Physics,What is kinetic energy?,GPT-4o-mini,simple
Life Sciences,Health,Why do people need to stretch?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Idealism,GPT-4o-mini,complex
Hard Sciences,Physics,Laws of Thermodynamics,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why are some machines automatic?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How does insurance work?,GPT-4o,simple
Hard Sciences,Physics,Why do things fall down?,GPT-4o,simple
Arts & Literature,Literature & Writing,Narrative Voice,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,What is a simile?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,What is the importance of reading?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Visual Rhythm,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How does the history of a place shape its culture?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do artists get inspired by nature?,GPT-4o-mini,simple
